iter	Logloss
0	0.6604195673
1	0.6201543592
2	0.595972734
3	0.5496407405
4	0.5297548582
5	0.5012091767
6	0.470205102
7	0.4428382905
8	0.4262390881
9	0.4095381964
10	0.395134374
11	0.379966253
12	0.3665661261
13	0.3525694624
14	0.3430120995
15	0.3285444818
16	0.3185833028
17	0.308276961
18	0.2949115609
19	0.2839727726
20	0.2766923304
21	0.2727340275
22	0.2665704191
23	0.2621748463
24	0.2575741684
25	0.2480029169
26	0.2421402746
27	0.2359164188
28	0.2314179651
29	0.2272850239
30	0.224339027
31	0.2183526512
32	0.2149902684
33	0.2117065779
34	0.2073482372
35	0.2029552434
36	0.1990983602
37	0.1955064579
38	0.1928720048
39	0.1905204163
40	0.1877123784
41	0.1844059887
42	0.1810914866
43	0.1774527659
44	0.1745354787
45	0.1699739747
46	0.1665138121
47	0.1645358244
48	0.1632068065
49	0.1616006712
50	0.1592609252
51	0.1580214705
52	0.1562937756
53	0.1533351903
54	0.1514272589
55	0.1492905711
56	0.1466723106
57	0.1445889194
58	0.1422689094
59	0.1412125757
60	0.1400304604
61	0.1394441499
62	0.1371568079
63	0.1359945559
64	0.134045732
65	0.1317901883
66	0.1294022599
67	0.1266008709
68	0.1254005825
69	0.1240617705
70	0.1226106043
71	0.1215021152
72	0.1204957709
73	0.1178766421
74	0.1165099689
75	0.1157983165
76	0.1143357202
77	0.1132546675
78	0.1122596038
79	0.1107662085
80	0.1102870574
81	0.1090729356
82	0.1081559812
83	0.1069579489
84	0.1054447081
85	0.1041229732
86	0.1027239626
87	0.1014829433
88	0.1004744919
89	0.09888512427
90	0.09706617799
91	0.09585058403
92	0.09478443879
93	0.09349676057
94	0.09225294513
95	0.09114725234
96	0.09052489814
97	0.08989279701
98	0.08895028754
99	0.08760081376
100	0.08689309014
101	0.08613274327
102	0.0855933697
103	0.08482276831
104	0.08327698467
105	0.08259297476
106	0.08199575008
107	0.08091576891
108	0.07974016493
109	0.07908598758
110	0.07853202011
111	0.07746217778
112	0.07677788945
113	0.07556882917
114	0.07409963727
115	0.07371652818
116	0.07280513412
117	0.07198257723
118	0.07116486055
119	0.07073543781
120	0.07037223733
121	0.06967005874
122	0.06864003199
123	0.06833354786
124	0.06746440296
125	0.06676418227
126	0.06552173113
127	0.06476128531
128	0.06368366833
129	0.06311742848
130	0.06274127903
131	0.06234286419
132	0.06168824846
133	0.06080845485
134	0.05999443485
135	0.0594534449
136	0.05892808349
137	0.05814769898
138	0.05707031769
139	0.05597021484
140	0.05540724612
141	0.05448918793
142	0.0537935156
143	0.0533686089
144	0.05276421338
145	0.05229300712
146	0.05185542055
147	0.05140812623
148	0.05095939515
149	0.05005446555
150	0.04917180169
151	0.04835761989
152	0.04758681884
153	0.04696606015
154	0.04619673002
155	0.04565116151
156	0.04528237685
157	0.04466882373
158	0.04398553807
159	0.0433924226
160	0.04296913526
161	0.04256679611
162	0.0421063458
163	0.04164093045
164	0.04145233102
165	0.04083499805
166	0.04076984751
167	0.04015603641
168	0.03990195843
169	0.03948464386
170	0.03923083652
171	0.03880786947
172	0.03859770773
173	0.03827348288
174	0.03755779053
175	0.03719119358
176	0.03681882174
177	0.03634216896
178	0.03593180441
179	0.03538235812
180	0.03528807565
181	0.03488734669
182	0.03451459985
183	0.03399470316
184	0.03390454541
185	0.03341636585
186	0.0329792981
187	0.03252882794
188	0.03243191468
189	0.03190584213
190	0.03173927189
191	0.03135030378
192	0.03096963348
193	0.03076630359
194	0.0305337999
195	0.03021618126
196	0.0297842933
197	0.02928937425
198	0.02903802031
199	0.02860909228
200	0.02837642113
201	0.02800954165
202	0.02782945079
203	0.02745118208
204	0.02731422186
205	0.0271628705
206	0.02692601529
207	0.0266592521
208	0.02637712524
209	0.02632387329
210	0.0260174611
211	0.02573373314
212	0.02560438807
213	0.02540275289
214	0.02507571787
215	0.02499553036
216	0.02487461359
217	0.02466511424
218	0.02430684016
219	0.02404059057
220	0.02373236589
221	0.02368506161
222	0.0234155678
223	0.02316659852
224	0.02294797998
225	0.02281840416
226	0.02273306828
227	0.02264679263
228	0.022464268
229	0.02240946384
230	0.02233075446
231	0.02212877189
232	0.02179454743
233	0.02170225613
234	0.02155705522
235	0.02124778227
236	0.02102936978
237	0.02091355123
238	0.02075363832
239	0.02068250607
240	0.02048180792
241	0.02033077022
242	0.02001940012
243	0.019872194
244	0.01965444372
245	0.01945435566
246	0.01937855839
247	0.01925857307
248	0.01908292861
249	0.01894893702
250	0.01877720546
251	0.01863552665
252	0.01844591134
253	0.01830961777
254	0.01820378444
255	0.01803045258
256	0.01787092559
257	0.01777333063
258	0.01760117714
259	0.01747311279
260	0.01738550907
261	0.01726539141
262	0.01714343523
263	0.01709742675
264	0.01700318148
265	0.01680005831
266	0.01662106843
267	0.01649176025
268	0.01638864911
269	0.01623677677
270	0.01606285815
271	0.01592576127
272	0.01571161992
273	0.01564931349
274	0.01556953407
275	0.01554583932
276	0.01545221217
277	0.01535455693
278	0.0153178534
279	0.0151547724
280	0.01505893355
281	0.0149794095
282	0.01490882842
283	0.01479394462
284	0.014723736
285	0.01468193413
286	0.01461589495
287	0.01445758549
288	0.01431384851
289	0.014205861
290	0.01408858258
291	0.01406899943
292	0.01392764211
293	0.01378524627
294	0.01369383451
295	0.01355278432
296	0.01342263386
297	0.01340042131
298	0.01327917205
299	0.01322905044
